output,label
"{ ""To"": ""The Hon'ble Chief Justice and Judges of the Supreme Court of India"", ""From"": ""[Your Name], Advocate"", ""Date"": ""[Date]"", ""Subject"": ""Writ Petition under Article 32 of the Constitution of India"", ""Introduction"": ""May it please Your Lordships,\n\nI, [Your Name], Advocate on behalf of my client, Mr. E. P. Royappa, the petitioner, humbly submit this Writ Petition under Article 32 of the Constitution of India seeking the honorable Court's intervention and protection of my client's fundamental rights under Articles 14, 16, and 311 of the Constitution. The present petition challenges the transfer of my client from the post of Chief Secretary to the posts of Deputy Chairman and Special Officer by the State of Tamil Nadu and seeks appropriate relief in this regard.\n\nFacts of the Case:"", ""Facts"": ""1. Mr. E. P. Royappa, a senior IAS officer of the Tamil Nadu cadre, was appointed as the officiating Chief Secretary in November 1969.\n2. In April 1971, a new political party, DMK, came to power, and its leader became the Chief Minister.\n3. Subsequently, my client was transferred from the post of Chief Secretary to the posts of Deputy Chairman of State Planning Commission and Special Officer.\n4. It is pertinent to note that my client's transfer was made without any valid reason or justification, and it was done in an arbitrary, discriminatory, and mala fide manner.\n5. The petitioner alleges that the transfer violates his fundamental rights under Articles 14, 16, and 311 of the Constitution.\n6. The transferred posts were not shown to be inferior in status and responsibility compared to the post of Chief Secretary.\n7. There is no evidence to establish mala fides in the transfer.\n8. The petitioner seeks appropriate relief from this Hon'ble Court to rectify the violation of his fundamental rights and to ensure justice is served.\n\nLegal Issues Presented:"", ""LegalIssues"": ""1. Whether the transfer of the petitioner from the post of Chief Secretary to the posts of Deputy Chairman and Special Officer violates his fundamental rights under Articles 14, 16, and 311 of the Constitution?\n2. Whether the posts transferred to were inferior in status and responsibility compared to the Chief Secretary?\n3. Whether the transfer was mala fide, arbitrary, and intended to victimize the petitioner?\n\nReliefs Sought:"", ""Reliefs"": ""1. Issue a writ of certiorari or any other appropriate writ, order, or direction quashing the impugned transfer order dated [Date].\n2. Declare the transfer of the petitioner from the post of Chief Secretary to the posts of",8
"Deputy Chairman and Special Officer as violative of his fundamental rights under Articles 14, 16, and 311 of the Constitution.\n3. Direct the State of Tamil Nadu to reinstate the petitioner to the post of Chief Secretary with all attendant benefits and privileges.\n4. Grant any other relief or remedy that this Hon'ble Court deems fit and just in the circumstances of the case.\n\nInterim Relief Sought:"", ""InterimRelief"": ""1. Stay the operation and implementation of the impugned transfer order dated [Date] pending the final disposal of this Writ Petition.\n2. Direct the State of Tamil Nadu to maintain the status quo ante with regard to the petitioner's position as Chief Secretary until the final disposal of this Writ Petition.\n\nGrounds for the Petition:"", ""Grounds"": ""1. The transfer of the petitioner from the post of Chief Secretary to the posts of Deputy Chairman and Special Officer is arbitrary, discriminatory, and mala fide.\n2. The transfer violates the petitioner's fundamental rights under Articles 14, 16, and 311 of the Constitution.\n3. The transferred posts were not shown to be inferior in status and responsibility compared to the post of Chief Secretary.\n4. There is no evidence to establish mala fides in the transfer.\n\nPrayer:"", ""Prayer"": ""In light of the aforementioned facts, legal issues, and grounds, it is humbly prayed that this Hon'ble Court may be pleased to:\n1. Admit this Writ Petition under Article 32 of the Constitution of India.\n2. Issue a writ of certiorari or any other appropriate writ, order, or direction quashing the impugned transfer order dated [Date].\n3. Declare the transfer of the petitioner from the post of Chief Secretary to the posts of Deputy Chairman and Special Officer as violative of his fundamental rights under Articles 14, 16, and 311 of the Constitution.\n4. Direct the State of Tamil Nadu to reinstate the petitioner to the post of Chief Secretary with all attendant benefits and privileges.\n5. Grant any other relief or remedy that this Hon'ble Court deems fit and just in the circumstances of the case.\n6. Grant interim relief as sought in this Writ Petition.\n7. Award the costs of this Writ Petition to the petitioner.\n8. Pass any other order(s) as this Hon'ble Court may deem fit and proper in the interest of justice.\n\n[Your Name], Advocate\n[Your Address]\n[Contact Details]""}",8
"{ ""title"": ""Writ Petition under Article 32 of the Constitution of India"", ""parties"": [ { ""petitioner"": ""Som Prakash Rekhi"", ""respondents"": [ ""Union of India"", ""Bharat Petroleum Corporation Ltd. (BPCL)"" ] } ], ""facts"": [ ""The petitioner, Som Prakash Rekhi, was an employee of Burmah Shell Oil Storage Ltd."", ""Burmah Shell was acquired by the Central Government under the Burmah Shell Acquisition Act 1976 and its undertakings were vested in Bharat Petroleum Corporation Ltd. (BPCL), a government company."", ""After retiring, Rekhi received his provident fund amount under the EPF Act 1952 and gratuity under the Payment of Gratuity Act 1972."", ""Burmah Shell and subsequently BPCL deducted amounts from his pension citing the pension regulations, resulting in a significant reduction in his pension amount."", ""Rekhi filed a writ petition under Article 32 of the Constitution of India against BPCL and the Union of India, challenging the deductions and stopping of an additional discretionary pension amount."" ], ""issues"": [ ""Whether BPCL can be considered 'State' under Article 12 of the Constitution of India and amenable to writ jurisdiction of the Supreme Court under Article 32."", ""Whether the deductions from Rekhi's pension and stopping of discretionary pension amount by BPCL were valid."" ], ""reliefs_sought"": [ ""Declare that BPCL is 'State' under Article 12 and subject to Part III of the Constitution of India."", ""Declare the deductions from Rekhi's pension as illegal and improper."", ""Direct BPCL to reconsider the stopping of discretionary pension amount properly and bona fide."", ""Grant any other relief deemed fit by the Hon'ble Court."" ], ""legal_arguments"": [ ""BPCL, being a government company with deep pervasive state control, should be considered 'State' under Article 12 and subject to Part III of the Constitution of India."", ""The deductions from Rekhi's pension based on the pension regulations are illegal and improper as they violate the provisions of the EPF Act 1952 and Payment of Gratuity Act 1972."", ""The stopping of discretionary pension amount should be reconsidered by BPCL properly and bona fide, as stopping it as a reprisal measure would make it illegal."" ], ""case_laws"": [ ""Sukhdev Singh vs Bhagatram Sardar Singh Raghuvanshi, (1975) 1 SCC 421"", ""Ramana Dayaram Shetty vs International Airport Authority of India, (1979) 3 SCC 489"" ], ""prayer"": ""In light of the above, the petitioner humbly prays that this Hon'ble Court may be pleased to: 1. Declare that BPCL is 'State' under Article 12 and subject to Part III of",8
"the Constitution of India. 2. Declare the deductions from Rekhi's pension as illegal and improper. 3. Direct BPCL to reconsider the stopping of discretionary pension amount properly and bona fide. 4. Grant any other relief deemed fit by the Hon'ble Court. And pass such other orders as this Hon'ble Court may deem fit and proper in the interest of justice and equity."", ""verification"": ""I, [Your Name], the petitioner, do hereby solemnly affirm and state that the contents of this petition are true and correct to the best of my knowledge and belief."", ""date"": ""[Date]"", ""place"": ""[Place]"", ""petitioner_name"": ""[Your Name]"", ""petitioner_address"": ""[Your Address]"", ""petitioner_contact"": ""[Your Contact Number]"", ""petitioner_email"": ""[Your Email Address]"", ""petitioner_advocate_name"": ""[Your Advocate's Name]"", ""petitioner_advocate_address"": ""[Your Advocate's Address]"", ""petitioner_advocate_contact"": ""[Your Advocate's Contact Number]"", ""petitioner_advocate_email"": ""[Your Advocate's Email Address]"" }",8
"{ ""To"": ""The Honorable Court"", ""Subject"": ""Bail Application"", ""Date"": ""[Current Date]"", ""Your Lordship/Your Honor"", ""I, [Your Name], the advocate on behalf of the petitioner, [Petitioner's Name], respectfully submit this bail application before this Honorable Court. The petitioner is seeking bail in the case of Miss Mohini Jain vs State Of Karnataka And Ors, which is currently pending before this Honorable Court."", ""I. Introduction"", ""1. The petitioner, Miss Mohini Jain, is a law-abiding citizen and a resident of Meerut, Uttar Pradesh. She is a young student aspiring to pursue a career in medicine. She has been falsely implicated in the present case and has been in custody since [Date of Arrest]."", ""II. Brief Facts of the Case"", ""2. The petitioner had applied for admission to Sri Siddhartha Medical College in Karnataka for the 1991 MBBS course. However, she was denied admission due to her inability to pay the exorbitant capitation fees of Rs. 60,000 per year. The petitioner's father expressed his inability to pay the fees, which led to her being denied admission."", ""3. Aggrieved by the denial of admission, the petitioner filed a writ petition under Article 32 before this Honorable Court challenging the State notification allowing capitation fees as unconstitutional. The petitioner has been diligently pursuing her legal remedies and has full faith in the judicial system."", ""III. Grounds for Granting Bail"", ""4. The petitioner respectfully submits the following grounds for granting bail:"", ""a. No Criminal Antecedents: The petitioner has no previous criminal record and has always been a law-abiding citizen. She poses no threat to the society or the witnesses in the case."", ""b. False Implication: The petitioner has been falsely implicated in the present case. She is a victim of the arbitrary and unconstitutional capitation fees imposed by the private medical college. The petitioner's only intention was to pursue her education and contribute to society as a medical professional."", ""c. No Flight Risk: The petitioner has strong roots in the community and has no intention of absconding or evading the legal process. She is willing to abide by any conditions imposed by this Honorable Court to ensure her presence during the trial proceedings."", ""d. Cooperation with Investigation: The petitioner has fully cooperated with the investigation authorities since the beginning of the case. She has provided all necessary documents and information as required by the investigating agency."", ""e. Merits of the Case: The petitioner's case raises important constitutional",8
"issues regarding the right to education and the constitutionality of capitation fees. The petitioner has a strong prima facie case and it is in the interest of justice to grant her bail so that she can effectively participate in the legal proceedings."", ""IV. Prayer"", ""5. In light of the aforementioned grounds, the petitioner humbly prays that this Honorable Court may be pleased to:"", ""a. Grant bail to the petitioner, Miss Mohini Jain, in the present case pending before this Honorable Court."", ""b. Impose any necessary conditions deemed fit by this Honorable Court to ensure the petitioner's presence during the trial proceedings."", ""c. Pass any other order or direction as this Honorable Court may deem fit and just in the facts and circumstances of the case."", ""6. The petitioner undertakes to abide by all conditions imposed by this Honorable Court and assures that she will not misuse the liberty granted to her. She will diligently cooperate with the trial proceedings and will not tamper with any evidence or influence any witnesses."", ""7. The petitioner is ready and willing to furnish a personal bond and surety as required by this Honorable Court."", ""8. The petitioner prays for an early hearing and expeditious disposal of this bail application."", ""9. The petitioner shall remain grateful to this Honorable Court for the justice and relief sought."", ""[Your Name]"", ""Advocate for the Petitioner"", ""[Your Address]"", ""[Your Contact Details]"" }",8
"IN THE SUPREME COURT OF INDIA CIVIL APPELLATE JURISDICTION WRIT PETITION (CIVIL) NO. [Insert Petition Number] BETWEEN ASHOK KUMAR GUPTA & ORS ...PETITIONERS VERSUS STATE OF U.P. & ORS ...RESPONDENTS TO THE HON'BLE CHIEF JUSTICE AND THE OTHER HON'BLE JUDGES OF THE SUPREME COURT OF INDIA THE HUMBLE PETITION OF THE PETITIONERS ABOVE-NAMED MOST RESPECTFULLY SHOWETH: 1. That the petitioners, Ashok Kumar Gupta and others, hereby file this writ petition under Article 32 of the Constitution of India, seeking relief against the State of U.P. and others, as respondents, for the violation of their fundamental right to equality under Articles 14 and 16(1) of the Constitution. 2. That the petitioners are general category candidates who have been aggrieved by the promotion of reserved category candidates to higher posts in the UP Public Works Department (PWD) under the reservation policy provided for under Articles 16(4) and 16(4A) of the Constitution. 3. That the reservation in promotions for SCs/STs, as upheld by the Supreme Court in the case of Ashok Kumar Gupta & Ors vs State Of U.P. & Ors, is being challenged on the grounds that it violates the fundamental right to equality guaranteed to the petitioners under Articles 14 and 16(1) of the Constitution. 4. That the reservation policy in promotions, as applied in the present case, has resulted in the promotion of reserved category candidates who are inadequately represented, thereby violating the principle of equality and merit-based selection. 5. That the reservation policy in promotions, as upheld by the Supreme Court, fails to consider the adverse impact on the efficiency of administration, as required under Article 335 of the Constitution. 6. That the petitioners seek a declaration from this Hon'ble Court that the reservation in promotions for SCs/STs, as applied in the present case, is unconstitutional and violative of their fundamental right to equality under Articles 14 and 16(1) of the Constitution. 7. That the petitioners further seek appropriate directions from this Hon'ble Court to the State of U.P. and others, as respondents, to rectify the promotion process and ensure that promotions are made on the basis of merit and without any discrimination based on caste or category. 8. That the petitioners have no other adequate remedy except to approach this Hon'ble Court under Article 32 of the Constitution, as the violation of their fundamental rights is a matter of public importance and affects a large number of similarly",8
"situated individuals. 9. That the petitioners, therefore, pray that this Hon'ble Court may be pleased to: (a) Declare that the reservation in promotions for SCs/STs, as applied in the present case, is unconstitutional and violative of the petitioners' fundamental right to equality under Articles 14 and 16(1) of the Constitution; (b) Direct the State of U.P. and others, as respondents, to rectify the promotion process and ensure that promotions are made on the basis of merit and without any discrimination based on caste or category; (c) Pass any other appropriate order or direction as this Hon'ble Court may deem fit and just in the facts and circumstances of the case; (d) Grant any other relief that this Hon'ble Court may deem fit and proper in the interest of justice. AND FOR THIS ACT OF KINDNESS, THE PETITIONERS SHALL EVER PRAY. [Insert Place] [Insert Date] [Insert Name of Advocate] [Insert Advocate's Designation] [Insert Name of Law Firm, if applicable] [Insert Address of Law Firm, if applicable] [Insert Contact Details of Advocate/Law Firm, if applicable]",8
"IN THE SUPREME COURT OF INDIA CIVIL APPELLATE JURISDICTION SPECIAL LEAVE PETITION (CIVIL) NO. [Insert Petition Number] IN THE MATTER OF: A.Sudha ...Petitioner VERSUS University Of Mysore & Anr ...Respondents TO THE HON'BLE CHIEF JUSTICE OF INDIA AND HIS COMPANION JUSTICES OF THE SUPREME COURT OF INDIA The humble petition of the Petitioner above-named: MOST RESPECTFULLY SHOWETH: 1. That the Petitioner, A.Sudha, is a student pursuing MBBS studies at [Insert Name of College] affiliated to the University of Mysore. 2. That the Respondent No.1, University of Mysore, is a statutory body responsible for regulating and overseeing the admission process and academic standards of medical colleges in the state. 3. That the Respondent No.2, [Insert Name of College Principal], is the Principal of [Insert Name of College] and is responsible for the administration and management of the college. 4. That the Petitioner, after successfully completing her BSc examination with 54.7% marks and PUC examination with 43.1% marks, sought admission to the MBBS course at [Insert Name of College]. 5. That the Petitioner, relying on the confirmation of eligibility for admission provided by the Respondent No.2, was admitted to the MBBS course at [Insert Name of College] for the academic year [Insert Year]. 6. That the Petitioner, having completed the first year of her MBBS studies through interim orders of this Hon'ble Court, was shocked to receive a communication from the Respondent No.1, University of Mysore, stating that her admission was cancelled as she did not meet the minimum 50% PUC aggregate marks criteria under University regulations. 7. That the Petitioner, aggrieved by the cancellation of her admission, filed a writ petition before the High Court of Karnataka challenging the said cancellation. 8. That the Single Judge of the High Court dismissed the writ petition, and the appeal against the dismissal was also rejected by the Division Bench of the High Court. 9. That the Petitioner, being left with no other legal remedy, seeks the intervention of this Hon'ble Court to protect her right to continue her MBBS studies and to seek appropriate relief in the interest of justice. 10. That the present Special Leave Petition is being filed under Article 136 of the Constitution of India, seeking special leave to appeal against the judgment and order of the High Court of Karnataka dated [Insert Date] in [Insert Writ Petition Number]. 11. That the Petitioner has a good and arguable case on",8
"merits, and there are substantial questions of law involved in the present matter, which require the consideration of this Hon'ble Court. 12. That the Petitioner undertakes to pay the requisite court fees and comply with all the procedural requirements as directed by this Hon'ble Court. PRAYER In view of the above, it is most respectfully prayed that this Hon'ble Court may be pleased to: 1. Grant special leave to appeal against the judgment and order of the High Court of Karnataka dated [Insert Date] in [Insert Writ Petition Number]. 2. Stay the operation of the impugned judgment and order of the High Court of Karnataka during the pendency of the present Special Leave Petition. 3. Pass any other appropriate order(s) as this Hon'ble Court may deem fit and proper in the interest of justice. AND FOR THIS ACT OF KINDNESS, THE PETITIONER SHALL EVER PRAY. [Insert Place] [Insert Date] [Insert Name of Advocate] [Insert Advocate's Designation] [Insert Name of Law Firm/Chamber] [Insert Address of Law Firm/Chamber] [Insert Contact Details of Advocate]",8
